code,label
"const inputValue = userProvidedValue;",1
"const isValidCreditCard = (cardNumber) => {\n            const sanitizedCardNumber = cardNumber.replace(/s/g, '');\n            if (!/^d+$/.test(sanitizedCardNumber)) return false;\n          \n            let sum = 0;\n            let shouldDouble = false;\n          \n            for (let i = sanitizedCardNumber.length - 1; i >= 0; i--) {\n              let digit = parseInt(sanitizedCardNumber.charAt(i));\n          \n              if (shouldDouble) {\n                digit *= 2;\n                if (digit > 9) {\n                  digit -= 9;\n                }\n              }\n          \n              sum += digit;\n              shouldDouble = !shouldDouble;\n            }\n          \n            return sum % 10 === 0;\n          };\n          ",0
"const isValidTime = (timeStr) => {\n            const timeRegex = /^([01]d|2[0-3]):([0-5]d)$/;\n            return timeRegex.test(timeStr);\n          };",0
"const isValidPositiveFloat = (num) => {\n            return typeof num === 'number' &&\n              num > 0 &&\n              !Number.isNaN(num) &&\n              Number.isFinite(num) &&\n              num.toFixed(PRECISION) === num.toString();\n          };",0
"const isValidDate = (dateStr) => !isNaN(Date.parse(dateStr)) && dateStr.match(/^d{4}-d{2}-d{2}$/);",0
"const isValidEmail = (email) => {\n            const emailRegex = /^[^s@]+@[^s@]+.[^s@]+$/;\n            return emailRegex.test(email);\n          };",0
"const isValidPassword = (password) => {\n            const passwordRegex = /^(?=.*d)(?=.*[a-z])(?=.*[A-Z])(?=.*[!@#$%^&*])[A-Za-zd!@#$%^&*]{8,}$/;\n            return passwordRegex.test(password);\n          };",0
"function isValidPassword(password) {\n            return password.length >= 8 && /d/.test(password) && /[A-Z]/.test(password);\n          }",0
"const { sanitize } = require('sanitize-html');\n        ",0
"const { isIP } = require('net');\n\n        function isValidIPAddress(ipAddress) {\n          return isIP(ipAddress) !== 0;\n        }",0
"const { URL } = require('url');\n\n        function isValidURL(url) {\n          try {\n            new URL(url);\n            return true;\n          } catch (error) {\n            return false;\n          }\n        }",0
"function isValidJSON(jsonString) {\n            try {\n              JSON.parse(jsonString);\n              return true;\n            } catch (error) {\n              return false;\n            }\n          }",0
"const { v4: uuidv4 } = require('uuid');\n\n        function isValidUUID(uuid) {\n          return uuidv4.is(uuid);\n        }",0
"const https = require('https');\n        const server = https.createServer(app);\n        ",1
"const decodedToken = jwt.verify(req.headers.authorization, 'secret_key');",1
"res.setHeader('Content-Security-Policy', 'script-src *');",1
"app.use(cors());",1
"const user = JSON.parse(req.body.user);",1
"const userInput = req.query.data;",1
"res.send('<p>Hello, {req.query.name}</p>');\n        ",1
"const command = ls {req.query.directory};\n        child_process.exec(command, (err, stdout) => { /* ... */ });",1
"const regex = new RegExp(req.query.pattern);",1
"app.post('/register', (req, res) => {\n            const { username, password } = req.body;\n            res.send('User registered successfully!');\n          });",1
"app.get('/search', (req, res) => {\n            const searchTerm = req.query.q;",1
"const schema = Joi.object({\n            name: Joi.string().min(3).max(30).required(),\n            age: Joi.number().integer().min(1).max(120).required(),\n          });\n          const { error, value } = schema.validate(req.body);",0
"function validateUser(req, res, next) {\n            const schema = Joi.object({\n              name: Joi.string().min(3).max(30).required(),\n              age: Joi.number().integer().min(1).max(120).required(),\n            });\n          \n            const { error, value } = schema.validate(req.body);\n          \n            if (error) {\n              return res.status(400).json({ error: error.details[0].message });\n            }\n          \n            req.validatedData = value;\n            next();\n          }",0
"const sanitizedValue = sanitizeInput(userProvidedValue);",0
"const inputValue = userProvidedValue;",1
"const name = userInput;",1
"const name = sanitizeInput(userInput);",0
"const email = req.body.email;",1
"const email = sanitizeInput(req.body.email);",0
"const phoneNumber = userInput;",1
"const phoneNumber = sanitizeInput(userInput);",0
"const password = userProvidedValue;",1
"const password = sanitizeInput(userProvidedValue);",0
"const address = req.query.address;",1
"const address = sanitizeInput(req.query.address);",0
"const city = userInput;",1
"const city = sanitizeInput(userInput);",0
"const zipCode = req.body.zipCode;",1
"const zipCode = sanitizeInput(req.body.zipCode);",0
"const creditCardNumber = userInput;",1
"const creditCardNumber = sanitizeInput(userInput);",0
"const expiryDate = req.query.expiryDate;",1
"const expiryDate = sanitizeInput(req.query.expiryDate);",0
"const cvv = userProvidedValue;",1
"const cvv = sanitizeInput(userProvidedValue);",0
"const feedback = req.body.feedback;",1
"const feedback = sanitizeInput(req.body.feedback);",0
"const username = userInput;",1
"const username = sanitizeInput(userInput);",0
"const bio = req.body.bio;",1
"const bio = sanitizeInput(req.body.bio);",0
"const searchQuery = userInput;",1
"const searchQuery = sanitizeInput(userInput);",0
"const articleContent = req.body.articleContent;",1
"const articleContent = sanitizeInput(req.body.articleContent);",0
"const comment = userInput;",1
"const comment = sanitizeInput(userInput);",0
"const message = req.body.message;",1
"const message = sanitizeInput(req.body.message);",0
"const productDescription = userInput;",1
"const productDescription = sanitizeInput(userInput);",0
"const review = req.body.review;",1
"const review = sanitizeInput(req.body.review);",0
"const rating = userInput;",1
"const rating = sanitizeInput(userInput);",0
"const imageUrl = req.body.imageUrl;",1
"const imageUrl = sanitizeInput(req.body.imageUrl);",0
"const caption = userInput;",1
"const caption = sanitizeInput(userInput);",0
"const link = req.body.link;",1
"const link = sanitizeInput(req.body.link);",0
"const commentText = userInput;",1
"const commentText = sanitizeInput(userInput);",0
"const searchKeyword = req.query.keyword;",1
"const searchKeyword = sanitizeInput(req.query.keyword);",0
"const content = userInput;",1
"const content = sanitizeInput(userInput);",0
"const title = req.body.title;",1
"const title = sanitizeInput(req.body.title);",0
"const commentBody = userInput;",1
"const inputValue = userProvidedValue;",1
"const username = userInput.trim();",1
"const username = sanitizeInput(userInput);",0
"const age = parseInt(userInput, 10);",1
"const age = sanitizeInput(userInput);",0
"const email = userInput.trim();",1
"const email = sanitizeInput(userInput);",0
"const password = userProvidedValue;",1
"const password = sanitizeInput(userProvidedValue);",0
"const address = req.body.address;",1
"const address = sanitizeInput(req.body.address);",0
"const phoneNumber = userInput.trim();",1
"const phoneNumber = sanitizeInput(userInput);",0
"const creditCardNumber = userInput.trim();",1
"const creditCardNumber = sanitizeInput(userInput);",0
"const zipCode = req.query.zipCode;",1
"const zipCode = sanitizeInput(req.query.zipCode);",0
"const productID = parseInt(userInput, 10);",1
"const productID = sanitizeInput(userInput);",0
"const searchText = userInput.trim();",1
"const searchText = sanitizeInput(userInput);",0
"const inputValue = userProvidedValue;",1
"const username = userInput.trim();",1
"const username = sanitizeInput(userInput);",0
"const age = parseInt(userInput, 10);",1
"const age = sanitizeInput(userInput);",0
"const email = userInput.trim();",1
"const email = sanitizeInput(userInput);",0
"const password = userProvidedValue;",1
"const password = sanitizeInput(userProvidedValue);",0
"const address = req.body.address;",1
"const address = sanitizeInput(req.body.address);",0
"const phoneNumber = userInput.trim();",1
"const phoneNumber = sanitizeInput(userInput);",0
"const creditCardNumber = userInput.trim();",1
"const creditCardNumber = sanitizeInput(userInput);",0
"const zipCode = req.query.zipCode;",1
"const zipCode = sanitizeInput(req.query.zipCode);",0
"const productID = parseInt(userInput, 10);",1
"const productID = sanitizeInput(userInput);",0
"const searchText = userInput.trim();",1
"const searchText = sanitizeInput(userInput);",0
"const country = userInput.trim();",1
"const country = sanitizeInput(userInput);",0
"const currency = userInput.trim();",1
"const currency = sanitizeInput(userInput);",0
"const jobTitle = userInput.trim();",1
"const jobTitle = sanitizeInput(userInput);",0
"const companyName = userInput.trim();",1
"const companyName = sanitizeInput(userInput);",0
"const department = userInput.trim();",1
"const department = sanitizeInput(userInput);",0
"const salary = parseFloat(userInput);",1
"const salary = sanitizeInput(userInput);",0
"const hireDate = new Date(userInput);",1
"const hireDate = sanitizeInput(userInput);",0
"const isAdmin = (userInput.toLowerCase() === 'true');",1
"const isAdmin = sanitizeInput(userInput);",0
"const website = userInput.trim();",1
"const website = sanitizeInput(userInput);",0
"const searchText = userInput.trim().toLowerCase();",1
"const searchText = sanitizeInput(userInput).toLowerCase();",0
"const ipAddress = userInput.trim();",1
"const ipAddress = sanitizeInput(userInput);",0
"const isMarried = (userInput.toLowerCase() === 'yes');",1
"const isMarried = sanitizeInput(userInput);",0
"const deviceID = userInput.trim();",1
"const deviceID = sanitizeInput(userInput);",0
"const rating = parseInt(userInput, 10);",1
"const rating = sanitizeInput(userInput);",0
"const searchQuery = userInput.trim();",1
"const searchQuery = sanitizeInput(userInput);",0
"const searchText = req.body.searchText;",1
"const searchText = sanitizeInput(req.body.searchText);",0
"const isAdmin = (userInput === 'true' || userInput === 'false') ? JSON.parse(userInput) : false;",1
"const inputValue = userProvidedValue;",1
"const username = userInput.trim();",1
"const username = sanitizeInput(userInput);",0
"const age = parseInt(userInput, 10);",1
"const age = sanitizeInput(userInput);",0
"const email = userInput.trim();",1
"const email = sanitizeInput(userInput);",0
"const password = userProvidedValue;",1
"const password = sanitizeInput(userProvidedValue);",0
"const address = req.body.address;",1
"const address = sanitizeInput(req.body.address);",0
"const phoneNumber = userInput.trim();",1
"const phoneNumber = sanitizeInput(userInput);",0
"const creditCardNumber = userInput.trim();",1
"const creditCardNumber = sanitizeInput(userInput);",0
"const zipCode = req.query.zipCode;",1
"const zipCode = sanitizeInput(req.query.zipCode);",0
"const productID = parseInt(userInput, 10);",1
"const productID = sanitizeInput(userInput);",0
"const searchText = userInput.trim();",1
"const searchText = sanitizeInput(userInput);",0
"const country = userInput.trim();",1
"const country = sanitizeInput(userInput);",0
"const currency = userInput.trim();",1
"const currency = sanitizeInput(userInput);",0
"const jobTitle = userInput.trim();",1
"const jobTitle = sanitizeInput(userInput);",0
"const companyName = userInput.trim();",1
"const companyName = sanitizeInput(userInput);",0
"const department = userInput.trim();",1
"const department = sanitizeInput(userInput);",0
"const salary = parseFloat(userInput);",1
"const salary = sanitizeInput(userInput);",0
"const hireDate = new Date(userInput);",1
"const hireDate = sanitizeInput(userInput);",0
"const isAdmin = (userInput.toLowerCase() === 'true');",1
"const isAdmin = sanitizeInput(userInput);",0
"const website = userInput.trim();",1
"const website = sanitizeInput(userInput);",0
"const searchText = userInput.trim().toLowerCase();",1
"const searchText = sanitizeInput(userInput).toLowerCase();",0
"const ipAddress = userInput.trim();",1
"const ipAddress = sanitizeInput(userInput);",0
"const isMarried = (userInput.toLowerCase() === 'yes');",1
"const isMarried = sanitizeInput(userInput);",0
"const deviceID = userInput.trim();",1
"const deviceID = sanitizeInput(userInput);",0
"const rating = parseInt(userInput, 10);",1
"const rating = sanitizeInput(userInput);",0
"const searchQuery = userInput.trim();",1
"const searchQuery = sanitizeInput(userInput);",0
"const searchText = req.body.searchText;",1
"const searchText = sanitizeInput(req.body.searchText);",0
"const isAdmin = (userInput === 'true' || userInput === 'false') ? JSON.parse(userInput) : false;",1
"const isAdmin = sanitizeInput(userInput);",0
"const productPrice = parseFloat(userInput);",1
"const productPrice = sanitizeInput(userInput);",0
"const city = userInput.trim();",1
"const city = sanitizeInput(userInput);",0
"const gender = userInput.trim().toLowerCase();",1
"const gender = sanitizeInput(userInput).toLowerCase();",0
"const socialSecurityNumber = userInput.trim();",1
"const socialSecurityNumber = sanitizeInput(userInput);",0
"const latitude = parseFloat(userInput);",1
"const latitude = sanitizeInput(userInput);",0
"const longitude = parseFloat(userInput);",1
"const longitude = sanitizeInput(userInput);",0
"const websiteURL = userInput.trim();",1
"const websiteURL = sanitizeInput(userInput);",0
"const countryName = userInput.trim();",1
"const countryName = sanitizeInput(userInput);",0
"const ipAddress = userInput.trim();",1
"const ipAddress = sanitizeInput(userInput);",0
"const isVerified = (userInput.toLowerCase() === 'true');",1
"const isVerified = sanitizeInput(userInput);",0
"const departmentName = userInput.trim();",1
"const departmentName = sanitizeInput(userInput);",0
"const taskDescription = userInput.trim();",1
"const taskDescription = sanitizeInput(userInput);",0
"const salary = parseFloat(userInput);",1
"const salary = sanitizeInput(userInput);",0
"const hireDate = new Date(userInput);",1
"const hireDate = sanitizeInput(userInput);",0
"const isActive = (userInput.toLowerCase() === 'true');",1
"const isActive = sanitizeInput(userInput);",0
"const isPremiumUser = (userInput.toLowerCase() === 'true');",1
"const isPremiumUser = sanitizeInput(userInput);",0
"const shippingAddress = req.body.shippingAddress;",1
"const shippingAddress = sanitizeInput(req.body.shippingAddress);",0
"const billingAddress = req.body.billingAddress;",1
"const billingAddress = sanitizeInput(req.body.billingAddress);",0
"const taxRate = parseFloat(userInput);",1
"const taxRate = sanitizeInput(userInput);",0
"const currency = userInput.trim();",1
"const currency = sanitizeInput(userInput);",0
"const orderID = userInput.trim();",1
"const orderID = sanitizeInput(userInput);",0
"const shippingMethod = userInput.trim();",1
"const shippingMethod = sanitizeInput(userInput);",0
"const paymentMethod = userInput.trim();",1
"const paymentMethod = sanitizeInput(userInput);",0
"const discountCode = userInput.trim();",1
"const discountCode = sanitizeInput(userInput);",0
"const couponCode = userInput.trim();",1
"const couponCode = sanitizeInput(userInput);",0
"const promoCode = userInput.trim();",1
"const promoCode = sanitizeInput(userInput);",0
"const itemName = userInput.trim();",1
"const itemName = sanitizeInput(userInput);",0
"const quantity = parseInt(userInput, 10);",1
"const quantity = sanitizeInput(userInput);",0
"const manufacturer = userInput.trim();",1
"const manufacturer = sanitizeInput(userInput);",0
"const purchaseDate = new Date(userInput);",1
"const purchaseDate = sanitizeInput(userInput);",0
"const deliveryDate = new Date(userInput);",1
"const deliveryDate = sanitizeInput(userInput);",0
"const warrantyPeriod = parseInt(userInput, 10);",1
"const warrantyPeriod = sanitizeInput(userInput);",0
"const orderStatus = userInput.trim();",1
"const orderStatus = sanitizeInput(userInput);",0
"const feedback = req.body.feedback;",1
"const feedback = sanitizeInput(req.body.feedback);",0
"const articleTitle = userInput.trim();",1
"const articleTitle = sanitizeInput(userInput);",0
"const articleContent = req.body.articleContent;",1
"const articleContent = sanitizeInput(req.body.articleContent);",0
"const comment = userInput.trim();",1
"const comment = sanitizeInput(userInput);",0
"const message = req.body.message;",1
"const message = sanitizeInput(req.body.message);",0
"const productDescription = userInput.trim();",1
"const productDescription = sanitizeInput(userInput);",0
"const review = req.body.review;",1
"const review = sanitizeInput(req.body.review);",0
"const rating = userInput.trim();",1
"const rating = sanitizeInput(userInput);",0
"const inputValue = userProvidedValue;",1
"const username = userInput.trim();",1
"const username = sanitizeInput(userInput);",0
"const age = parseInt(userInput, 10);",1
"const age = sanitizeInput(userInput);",0
"const email = userInput.trim();",1
"const email = sanitizeInput(userInput);",0
"const password = userProvidedValue;",1
"const password = sanitizeInput(userProvidedValue);",0
"const address = req.body.address;",1
"const address = sanitizeInput(req.body.address);",0
"const phoneNumber = userInput.trim();",1
"const phoneNumber = sanitizeInput(userInput);",0
"const creditCardNumber = userInput.trim();",1
"const creditCardNumber = sanitizeInput(userInput);",0
"const zipCode = req.query.zipCode;",1
"const zipCode = sanitizeInput(req.query.zipCode);",0
"const productID = parseInt(userInput, 10);",1
"const productID = sanitizeInput(userInput);",0
"const searchText = userInput.trim();",1
"const searchText = sanitizeInput(userInput);",0
"const country = userInput.trim();",1
"const country = sanitizeInput(userInput);",0
"const currency = userInput.trim();",1
"const currency = sanitizeInput(userInput);",0
"const jobTitle = userInput.trim();",1
"const jobTitle = sanitizeInput(userInput);",0
"const companyName = userInput.trim();",1
"const companyName = sanitizeInput(userInput);",0
"const department = userInput.trim();",1
"const department = sanitizeInput(userInput);",0
"const salary = parseFloat(userInput);",1
"const salary = sanitizeInput(userInput);",0
"const hireDate = new Date(userInput);",1
"const hireDate = sanitizeInput(userInput);",0
"const isAdmin = (userInput.toLowerCase() === 'true');",1
"const isAdmin = sanitizeInput(userInput);",0
"const website = userInput.trim();",1
"const website = sanitizeInput(userInput);",0
"const searchText = userInput.trim().toLowerCase();",1
"const searchText = sanitizeInput(userInput).toLowerCase();",0
"const ipAddress = userInput.trim();",1
"const ipAddress = sanitizeInput(userInput);",0
"const isMarried = (userInput.toLowerCase() === 'yes');",1
"const isMarried = sanitizeInput(userInput);",0
"const deviceID = userInput.trim();",1
"const deviceID = sanitizeInput(userInput);",0
"const rating = parseInt(userInput, 10);",1
"const rating = sanitizeInput(userInput);",0
"const searchQuery = userInput.trim();",1
"const searchQuery = sanitizeInput(userInput);",0
"const searchText = req.body.searchText;",1
"const searchText = sanitizeInput(req.body.searchText);",0
"const isAdmin = (userInput === 'true' || userInput === 'false') ? JSON.parse(userInput) : false;",1
"const isAdmin = sanitizeInput(userInput);",0
"const productPrice = parseFloat(userInput);",1
"const productPrice = sanitizeInput(userInput);",0
"const city = userInput.trim();",1
"const city = sanitizeInput(userInput);",0
"const gender = userInput.trim().toLowerCase();",1
"const gender = sanitizeInput(userInput).toLowerCase();",0
"const socialSecurityNumber = userInput.trim();",1
"const socialSecurityNumber = sanitizeInput(userInput);",0
"const latitude = parseFloat(userInput);",1
"const latitude = sanitizeInput(userInput);",0
